sku,name,slug,price,shipping_category,tax_category,description,taxon,stock,available_on,condition,set_num,num_parts,year
10265-1,Ford Mustang,set-10265-1,197.84,Default,Default,Sealed set #10265,Creator Expert,42,12/11/19,New,10265-1,1471,2019
10266-1,NASA Apollo 11 Lunar Lander,set-10266-1,129.5,Default,Default,Used set #10266,Creator Expert,193,12/11/19,Used,10266-1,1087,2019
30361-1,Fire ATV,set-30361-1,34.73,Default,Default,Sealed set #30361,City,48,12/11/19,New,30361-1,39,2019
30364-1,Popcorn Cart,set-30364-1,181.19,Default,Default,Sealed set #30364,City,173,12/11/19,New,30364-1,43,2019
30383-1,Naboo Starfighter,set-30383-1,82.48,Default,Default,Sealed set #30383,Star Wars,165,12/11/19,New,30383-1,48,2019
30384-1,Snowspeeder,set-30384-1,28.08,Default,Default,Sealed set #30384,Star Wars,70,12/11/19,New,30384-1,49,2019
30408-1,Tulips,set-30408-1,140.74,Default,Default,Sealed set #30408,Friends,199,12/11/19,New,30408-1,90,2019
30409-1,Emma's Bumper Cars,set-30409-1,73.75,Default,Default,Sealed set #30409,Friends,126,12/11/19,New,30409-1,66,2019
30410-1,Mia's Water Fun,set-30410-1,118.84,Default,Default,Sealed set #30410,Friends,83,12/11/19,New,30410-1,28,2019
30461-1,Podracer,set-30461-1,204.02,Default,Default,Sealed set #30461,Star Wars,57,12/11/19,New,30461-1,58,2019
30533-1,Sam-X,set-30533-1,132.68,Default,Default,Sealed set #30533,Ninjago,131,12/11/19,New,30533-1,56,2019
30534-1,Ninja Workout,set-30534-1,144.49,Default,Default,Sealed set #30534,Ninjago,47,12/11/19,New,30534-1,31,2019
30535-1,Fire Fight,set-30535-1,107.8,Default,Default,Sealed set #30535,Ninjago,78,12/11/19,New,30535-1,54,2019
30545-1,Fish Free Builds - Make It Yours,set-30545-1,198.24,Default,Default,Sealed set #30545,Creator,193,12/11/19,New,30545-1,39,2019
30571-1,Pelican,set-30571-1,75.99,Default,Default,Sealed set #30571,Creator 3-in-1,102,12/11/19,New,30571-1,62,2019
30572-1,Race Car,set-30572-1,168.16,Default,Default,Sealed set #30572,Creator,49,12/11/19,New,30572-1,68,2019
30573-1,Santa,set-30573-1,115.12,Default,Default,Sealed set #30573,Creator,191,12/11/19,New,30573-1,67,2019
30623-1,SHAZAM!,set-30623-1,25.13,Default,Default,Sealed set #30623,Super Heroes,100,12/11/19,New,30623-1,5,2019
30624-1,Obi-Wan Kenobi - Collectible Minifigure,set-30624-1,59.94,Default,Default,Sealed set #30624,Star Wars,46,12/11/19,New,30624-1,12,2019
31086-1,Futuristic Flyer,set-31086-1,183.17,Default,Default,Sealed set #31086,Creator 3-in-1,107,12/11/19,New,31086-1,157,2019
31088-1,Deep Sea Creatures,set-31088-1,55.7,Default,Default,Sealed set #31088,Creator 3-in-1,122,12/11/19,New,31088-1,230,2019
31090-1,Underwater Robot,set-31090-1,33.07,Default,Default,Sealed set #31090,Creator 3-in-1,46,12/11/19,New,31090-1,207,2019
31091-1,Shuttle Transporter,set-31091-1,38.97,Default,Default,Sealed set #31091,Creator 3-in-1,120,12/11/19,New,31091-1,341,2019
40344-1,Summer Celebration Minifigure Set,set-40344-1,73.46,Default,Default,Sealed set #40344,Collectible Minifigures,52,12/11/19,New,40344-1,45,2019
40348-1,Birthday Clown,set-40348-1,163.98,Default,Default,Sealed set #40348,Brickheadz,158,12/11/19,New,40348-1,150,2019
40349-1,Puppy,set-40349-1,32.58,Default,Default,Sealed set #40349,Brickheadz,107,12/11/19,New,40349-1,147,2019
40350-1,Chick,set-40350-1,187.21,Default,Default,Sealed set #40350,Brickheadz,76,12/11/19,New,40350-1,120,2019
40351-1,Ghost,set-40351-1,45.37,Default,Default,Sealed set #40351,Brickheadz,19,12/11/19,New,40351-1,134,2019
40352-1,Thanksgiving Scarecrow,set-40352-1,187.31,Default,Default,Sealed set #40352,Brickheadz,24,12/11/19,New,40352-1,177,2019
40353-1,"Reindeer, Elf & Elfie",set-40353-1,26.12,Default,Default,Sealed set #40353,Brickheadz,109,12/11/19,New,40353-1,281,2019
