name,parent
Bricks Curved,Bricks
Bricks Round and Cones,Bricks
Bricks Sloped,Bricks
Bricks Special,Bricks
Bricks Wedged,Bricks
"Duplo, Quatro and Primo","Duplo, Quatro and Primo"
"Flags, Signs, Plastics and Cloth","Flags, Signs, Plastics and Cloth"
Minidoll Heads,Minifigs
Minidoll Lower Body,Minifigs
Minidoll Upper Body,Minifigs
Minifig Heads,Minifigs
Minifig Headwear,Minifigs
Minifig Lower Body,Minifigs
Minifig Upper Body,Minifigs
"Bars, Ladders and Fences",Parts
Baseplates,Parts
"Belville, Scala and Fabuland",Parts
"Bionicle, Hero Factory and Constraction",Parts
Bricks,Parts
Clikits,Parts
Containers,Parts
"Hinges, Arms and Turntables",Parts
HO Scale,Parts
Magnets and Holders,Parts
Mechanical,Parts
Minifig Accessories,Parts
Minifigs,Parts
Modulex,Parts
"Non-Buildable Figures (Duplo, Fabuland, etc)",Parts
Non-LEGO,Parts
Other,Parts
Panels,Parts
Plants and Animals,Parts
Plates,Parts
Pneumatics,Parts
"Power Functions, Mindstorms and Electric",Parts
Rock,Parts
Stickers,Parts
"String, Bands and Reels",Parts
"Supports, Girders and Cranes",Parts
Tiles,Parts
Tools,Parts
Tubes and Hoses,Parts
Windows and Doors,Parts
Windscreens and Fuselage,Parts
Znap,Parts
Plates Angled,Plates
Plates Round and Dishes,Plates
Plates Special,Plates
Technic Axles,Technic
Technic Beams,Technic
Technic Beams Special,Technic
Technic Bricks,Technic
Technic Bushes,Technic
Technic Connectors,Technic
Technic Gears,Technic
Technic Panels,Technic
Technic Pins,Technic
Technic Special,Technic
"Technic Steering, Suspension and Engine",Technic
Tiles Special,Tiles
Transportation - Land,Transportation
Transportation - Sea and Air,Transportation
Wheels and Tires,Transportation
