name,parent
Jack Stone,4 Juniors
Pirates,4 Juniors
Spider-Man,4 Juniors
Supplemental,4 Juniors
Town,4 Juniors
My Own Creation,9V
My Own Train,9V
World City,9V
Belville,Advent
Castle,Advent
City,Advent
Classic Basic,Advent
Clikits,Advent
Creator,Advent
Friends,Advent
Pirates,Advent
Star Wars,Advent
Desert,Adventurers
Dino Island,Adventurers
Jungle,Adventurers
Orient Expedition,Adventurers
Ultra Agents,Agents
Mission Deep Freeze,Alpha Team
Mission Deep Sea,Alpha Team
Aquanauts,Aquazone
Aquaraiders I,Aquazone
Aquaraiders II,Aquazone
Aquasharks,Aquazone
Hydronauts,Aquazone
Stingrays,Aquazone
Supplemental,Aquazone
Skylines,Architecture
Mini,Atlantis
Airport,Basic Model
Building,Basic Model
Cargo,Basic Model
Castle,Basic Model
Construction,Basic Model
Creature,Basic Model
Food & Drink,Basic Model
Harbor,Basic Model
Race,Basic Model
Robot,Basic Model
Traffic,Basic Model
Train,Basic Model
Ultimate Collector Series,Batman
Fairy-Tale,Belville
Golden Land,Belville
Hospital,Belville
Playhouse,Belville
Recreation,Belville
Agori,Bionicle
Barraki,Bionicle
Battle Vehicles,Bionicle
Bohrok,Bionicle
Bohrok Va,Bionicle
Bohrok-Kal,Bionicle
Glatorian,Bionicle
Glatorian Legends,Bionicle
Matoran of Light,Bionicle
Matoran of Mahri Nui,Bionicle
Matoran of Mata Nui,Bionicle
Matoran of Metru Nui,Bionicle
Matoran of Voya Nui,Bionicle
Mistika,Bionicle
Phantoka,Bionicle
Piraka,Bionicle
Playsets,Bionicle
Protectors,Bionicle
Rahaga,Bionicle
Rahi,Bionicle
Rahkshi,Bionicle
Skull Spiders,Bionicle
Stars,Bionicle
Supplemental,Bionicle
Titans,Bionicle
Toa,Bionicle
Toa Hagah,Bionicle
Toa Hordika,Bionicle
Toa Inika,Bionicle
Toa Mahri,Bionicle
Toa Metru,Bionicle
Toa Nuva,Bionicle
Toa Okoto,Bionicle
Tohunga,Bionicle
Turaga,Bionicle
Vahki,Bionicle
Visorak,Bionicle
Warriors,Bionicle
Technic,Books
Train,Books
Castle,Bulk Bricks
Technic,Bulk Bricks
Train,Bulk Bricks
Black Falcons,Castle
Black Knights,Castle
Classic Castle,Castle
Crusaders,Castle
Dark Forest,Castle
Fantasy Era,Castle
Forestmen,Castle
Fright Knights,Castle
Kingdoms,Castle
Knights Kingdom I,Castle
Knights Kingdom II,Castle
Lion Knights,Castle
My Own Creation,Castle
Royal Knights,Castle
Supplemental,Castle
Wolfpack,Castle
Creator,Christmas
Airport,City
Arctic,City
Cargo,City
Coast Guard,City
Construction,City
Farm,City
Fire,City
Harbor,City
Hospital,City
Jungle,City
Off-Road,City
Police,City
Space Port,City
Supplemental,City
Traffic,City
Trains,City
Airport,Classic Town
Building,Classic Town
Cargo,Classic Town
Coast Guard,Classic Town
Construction,Classic Town
Farm,Classic Town
Fire,Classic Town
Food & Drink,Classic Town
Harbor,Classic Town
Hospital,Classic Town
Off-Road,Classic Town
Police,Classic Town
Post Office,Classic Town
Race,Classic Town
Recreation,Classic Town
Station,Classic Town
Supplemental,Classic Town
Traffic,Classic Town
DFB Minifigures,Collectible Minifigures
Disney Series 1,Collectible Minifigures
Disney Series 2,Collectible Minifigures
Harry Potter and Fantastic Beasts,Collectible Minifigures
Ninjago The Movie,Collectible Minifigures
Series 1 Minifigures,Collectible Minifigures
Series 10 Minifigures,Collectible Minifigures
Series 11 Minifigures,Collectible Minifigures
Series 12 Minifigures,Collectible Minifigures
Series 13 Minifigures,Collectible Minifigures
Series 14 Minifigures,Collectible Minifigures
Series 15 Minifigures,Collectible Minifigures
Series 16 Minifigures,Collectible Minifigures
Series 17 Minifigures,Collectible Minifigures
Series 18 Minifigures,Collectible Minifigures
Series 19 Minifigures,Collectible Minifigures
Series 2 Minifigures,Collectible Minifigures
Series 3 Minifigures,Collectible Minifigures
Series 4 Minifigures,Collectible Minifigures
Series 5 Minifigures,Collectible Minifigures
Series 6 Minifigures,Collectible Minifigures
Series 7 Minifigures,Collectible Minifigures
Series 8 Minifigures,Collectible Minifigures
Series 9 Minifigures,Collectible Minifigures
Team GB,Collectible Minifigures
The LEGO Batman Movie,Collectible Minifigures
The LEGO Movie Series,Collectible Minifigures
The LEGO Movie Series II,Collectible Minifigures
The Simpsons,Collectible Minifigures
The Simpsons Series 2,Collectible Minifigures
Basic Model,Creator
Basic Set,Creator
Creator 3-in-1,Creator
Creator Expert,Creator
Early Creator,Creator
Mecha,Creator
Model,Creator
Supplemental,Creator
Building,Designer Sets
Action Wheelers,Duplo
Basic Set,Duplo
Bob the Builder,Duplo
Cars,Duplo
Castle,Duplo
DC Comics,Duplo
Dino,Duplo
Disney Planes,Duplo
Disney Princess,Duplo
Disney's Mickey Mouse,Duplo
Doc McStuffins,Duplo
Dolls,Duplo
Dora the Explorer,Duplo
Jake and the Never Land Pirates,Duplo
Little Forest Friends,Duplo
Little Robots,Duplo
Miles From Tomorrowland,Duplo
Pirates,Duplo
Playhouse,Duplo
Princess Castle,Duplo
Rattles,Duplo
Sofia the First,Duplo
Spiderman,Duplo
Thomas & Friends,Duplo
Toolo,Duplo
Town,Duplo
Toy Story,Duplo
Trains,Duplo
Western,Duplo
Winnie the Pooh,Duplo
Zooters,Duplo
4 Juniors,Educational and Dacta
Adventurers,Educational and Dacta
Boat,Educational and Dacta
Building Set with People,Educational and Dacta
Castle,Educational and Dacta
Classic,Educational and Dacta
Creator,Educational and Dacta
Dinosaurs,Educational and Dacta
Duplo and Explore,Educational and Dacta
Learning,Educational and Dacta
Mindstorms,Educational and Dacta
Primo,Educational and Dacta
Samsonite,Educational and Dacta
Service Packs,Educational and Dacta
Soft Bricks,Educational and Dacta
Space,Educational and Dacta
Supplemental,Educational and Dacta
Technic,Educational and Dacta
Town,Educational and Dacta
Universal Building Set,Educational and Dacta
Animals,Friends
Jungle Rescue,Friends
Game,Gear
Key Chain,Gear
Fantastic Beasts,Harry Potter
Heroes,Hero Factory
Vehicles,Hero Factory
Villains,Hero Factory
Kingdom of the Crystal Skull,Indiana Jones
Last Crusade,Indiana Jones
Raiders of the Lost Ark,Indiana Jones
Temple of Doom,Indiana Jones
Airport,Jack Stone
Fire,Jack Stone
Gas Station,Jack Stone
Police,Jack Stone
Traffic,Jack Stone
Cars,Juniors
DC Comics Super Heroes,Juniors
Disney Princess,Juniors
Fantasy,Juniors
Friends,Juniors
Jurassic World: Fallen Kingdom,Juniors
Marvel Super Heroes,Juniors
Ninjago,Juniors
Constraction,Legends of Chima
Legend Beasts,Legends of Chima
Speedorz,Legends of Chima
Cities of Wonders,LEGO Brand Store
Monthly Mini Model Build,LEGO Brand Store
Pick A Model,LEGO Brand Store
Airport,Legoland
Building,Legoland
Castle,Legoland
Coast Guard,Legoland
Construction,Legoland
Fire,Legoland
Gas Station,Legoland
Harbor,Legoland
Hospital,Legoland
Police,Legoland
Space,Legoland
Vehicle,Legoland
Western,Legoland
Bionicle,Legoland Parks
Holiday,Legoland Parks
Pirates,Legoland Parks
EV3,Mindstorms
NXT,Mindstorms
NXT,Mindstorms
RCX,Mindstorms
RCX,Mindstorms
Star Wars,Mindstorms
WeDo,Mindstorms
Star Wars Clone Wars,Mini
Star Wars Episode 1,Mini
Star Wars Episode 2,Mini
Star Wars Episode 3,Mini
Star Wars Episode 4/5/6,Mini
Series 1,Mixels
Series 2,Mixels
Series 3,Mixels
Series 4,Mixels
Series 5,Mixels
Series 6,Mixels
Series 7,Mixels
Series 8,Mixels
Series 9,Mixels
Airport,Model
Airport,Model
Building,Model
Cargo,Model
Construction,Model
Creature,Model
Farm,Model
Fire,Model
Harbor,Model
Harbor,Model
Off-Road,Model
Race,Model
Recreation,Model
Riding Cycle,Model
Robot,Model
Traffic,Model
Traffic,Model
Bricktober,Modular Buildings
Mini,Modular Buildings
Airjitzu,Ninjago
Ninjago The Movie,Ninjago
Pirates I,Pirates
Pirates II,Pirates
Pirates III,Pirates
Imperial Armada,Pirates I
Imperial Guards,Pirates I
Imperial Soldiers,Pirates I
Islanders,Pirates I
Powered Up,Power Functions
Drome Racers,Racers
Ferrari,Racers
Lamborghini,Racers
Power Racers,Racers
Radio Control,Racers
Speed Racer,Racers
Supplemental,Racers
Tiny Turbos,Racers
Track System,Racers
Williams F1,Racers
World Racers,Racers
Xalax,Racers
Mosaic,Sculptures
Advent,Seasonal
Advent Sub-Set,Seasonal
Christmas,Seasonal
Easter,Seasonal
Halloween,Seasonal
Thanksgiving,Seasonal
Valentine,Seasonal
Adventurers,Service Packs
Aquazone,Service Packs
Belville,Service Packs
Castle,Service Packs
Fabuland,Service Packs
Pirates,Service Packs
Primo,Service Packs
Scala,Service Packs
Space,Service Packs
Technic,Service Packs
Technic,Service Packs
Town,Service Packs
Train,Service Packs
Western ,Service Packs
Alien Conquest,Space
Blacktron I,Space
Blacktron II,Space
Classic Space,Space
Exploriens,Space
Futuron,Space
Galaxy Squad,Space
Ice Planet 2002,Space
Insectoids,Space
Life On Mars,Space
M:Tron,Space
Mars Mission,Space
RoboForce,Space
Space Police I,Space
Space Police II,Space
Space Police III,Space
Spyrius,Space
Supplemental,Space
UFO,Space
Unitron,Space
Spider-Man 2,Spider-Man
Basketball,Sports
Gravity Games,Sports
Hockey,Sports
Soccer,Sports
Freemakers,Star Wars
Mini,Star Wars
Minifig Pack,Star Wars
Planet Series 1,Star Wars
Planet Series 2,Star Wars
Planet Series 3,Star Wars
Planet Series 4,Star Wars
Solo,Star Wars
Star Wars Clone Wars,Star Wars
Star Wars Episode 1,Star Wars
Star Wars Episode 2,Star Wars
Star Wars Episode 3,Star Wars
Star Wars Episode 4/5/6,Star Wars
Star Wars Episode 7,Star Wars
Star Wars Episode 8,Star Wars
Star Wars Expanded Universe,Star Wars
Star Wars Other,Star Wars
Star Wars Rebels,Star Wars
Star Wars Rogue One,Star Wars
Ultimate Collector Series,Star Wars
Jurassic Park III,Studios
Avengers,Super Heroes
Batman,Super Heroes
Constraction,Super Heroes
Guardians of the Galaxy,Super Heroes
Iron Man,Super Heroes
Justice League,Super Heroes
Marvel,Super Heroes
Spider-Man,Super Heroes
Superman,Super Heroes
X-Men,Super Heroes
12V,Supplemental
4.5V,Supplemental
9V,Supplemental
RC Train,Supplemental
Basic Set,System
Building,System
HO 1:87 Vehicles,System
Jumbo Bricks,System
Mosaic,System
Supplemental,System
Town Plan,System
Vehicle,System
Wooden Box Set,System
Arctic Technic,Technic
Competition,Technic
Control Lab,Technic
eLAB,Technic
Expert Builder,Technic
Model,Technic
RoboRiders,Technic
Speed Slammers,Technic
Star Wars,Technic
Supplemental,Technic
Supplemental,Technic
Throwbot Slizer,Technic
Universal Building Set,Technic
The Hobbit,The Hobbit and Lord of the Rings
The Lord of the Rings,The Hobbit and Lord of the Rings
The LEGO Movie II,The LEGO Movie
4 Juniors,
Adventurers,
Agents,
Alpha Team,
Angry Birds,
Aquazone,
Architecture,
Atlantis,
Avatar,
Belville,
Ben 10,
Bionicle,
Boat,
Books,
Brickheadz,
Building Set with People,
Bulk Bricks,
Cars,
Castle,
Classic,
Clikits,
Collectible Minifigures,
Creator,
DC Super Hero Girls,
Designer Sets,
Dimensions,
Dino,
Dino 2010,
Dino Attack,
Dinosaurs,
Discovery,
Disney,
Disney Princess,
Disney's Mickey Mouse,
Duplo,
Educational and Dacta,
Elves,
Exo-Force,
Fabuland,
Factory,
FIRST LEGO League,
Forma,
Freestyle,
Friends,
Fusion,
Gear,
Ghostbusters,
Harry Potter,
Hero Factory,
Hidden Side,
Hobby Sets,
Homemaker,
Indiana Jones,
Inventor,
Island Xtreme Stunts,
Juniors,
Jurassic World,
Legends of Chima,
LEGO Brand Store,
LEGO Exclusive,
LEGO Ideas and CUUSOO,
LEGO Originals,
Legoland,
Legoland Parks,
Master Building Academy,
Mindstorms,
Minecraft,
Minitalia,
Mixels,
Model Team,
Modular Buildings,
Monster Fighters,
Nexo Knights,
Ninja,
Ninjago,
Other,
Overwatch,
Pharaoh's Quest,
Pirates,
Pirates of the Caribbean,
Power Functions,
Power Miners,
Primo,
Prince of Persia,
Promotional,
Quatro,
Racers,
Rock Raiders,
Scala,
Scooby-Doo,
Sculptures,
Seasonal,
Service Packs,
Space,
Speed Champions,
SpongeBob SquarePants,
Sports,
Spybiotics,
Star Wars,
Stranger Things,
Studios,
Super Heroes,
System,
Technic,
Teenage Mutant Ninja Turtles,
The Hobbit and Lord of the Rings,
The LEGO Movie,
The Lone Ranger,
The Powerpuff Girls,
Time Cruisers,
Town,
Toy Story,
Train,
Trolls: World Tour,
Unikitty!,
Universal Building Set,
Universe,
Value Packs,
Vikings,
Western,
X-Pod,
Xtra,
Znap,
Arctic,Town
City,Town
Classic Town,Town
Classic Town,Town
Construction,Town
Divers,Town
Extreme Team,Town
Fire,Town
Gas Station,Town
Launch Command,Town
Legoville,Town
My Town,Town
Outback,Town
Paradisa,Town
Police,Town
Race,Town
Res-Q,Town
Space Port,Town
Town Jr.,Town
Town Plan,Town
Traffic,Town
World City,Town
Cargo,Town Jr.
Coast Guard,Town Jr.
Construction,Town Jr.
Fire,Town Jr.
Gas Station,Town Jr.
Police,Town Jr.
Race,Town Jr.
Supplemental,Town Jr.
Traffic,Town Jr.
12V,Train
4.5V,Train
9V,Train
RC Train,Train
Supplemental,Train
Star Wars Episode 1,Ultimate Collector Series
Star Wars Episode 2,Ultimate Collector Series
Star Wars Episode 3,Ultimate Collector Series
Star Wars Episode 4/5/6,Ultimate Collector Series
Airport,Universal Building Set
Basic,Universal Building Set
Basic Model,Universal Building Set
Basic Set,Universal Building Set
Classic Basic,Universal Building Set
Ferries,Universal Building Set
Gears,Universal Building Set
Supplemental,Universal Building Set
Airport,Vehicle
Cargo,Vehicle
Construction,Vehicle
Farm,Vehicle
Fire,Vehicle
Harbor,Vehicle
Supplemental,Vehicle
Traffic,Vehicle
Train,Vehicle
Cowboys,Western
Indians,Western
Airport,World City
Coast Guard,World City
Fire,World City
Food & Drink,World City
Harbor,World City
Police,World City
Supplemental,World Racers
